date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2013-05-01,2013,5,3,Artigos de residência,Residência,0.46,1419
2013-05-01,2013,5,4,Vestuário,Vestuário,0.84,1419
2013-05-01,2013,5,5,Transportes,Transportes,-0.25,1419
2013-05-01,2013,5,6,Saúde e cuidados pessoais,Saúde,0.94,1419
2013-05-01,2013,5,7,Despesas pessoais,Pessoais,0.41,1419
2013-05-01,2013,5,8,Educação,Educação,0.06,1419
2013-05-01,2013,5,9,Comunicação,Comunicação,0.08,1419
2013-06-01,2013,6,1,Alimentação e bebidas,Alimentação,0.04,1419
2013-06-01,2013,6,2,Habitação,Habitação,0.57,1419
2013-06-01,2013,6,3,Artigos de residência,Residência,0.12,1419
2013-06-01,2013,6,4,Vestuário,Vestuário,0.5,1419
2013-06-01,2013,6,5,Transportes,Transportes,0.14,1419
2013-06-01,2013,6,6,Saúde e cuidados pessoais,Saúde,0.36,1419
2013-06-01,2013,6,7,Despesas pessoais,Pessoais,0.4,1419
2013-06-01,2013,6,8,Educação,Educação,0.18,1419
2013-06-01,2013,6,9,Comunicação,Comunicação,0.19,1419
2013-07-01,2013,7,1,Alimentação e bebidas,Alimentação,-0.33,1419
2013-07-01,2013,7,2,Habitação,Habitação,0.57,1419
2013-07-01,2013,7,3,Artigos de residência,Residência,0.28,1419
2013-07-01,2013,7,4,Vestuário,Vestuário,-0.39,1419
2013-07-01,2013,7,5,Transportes,Transportes,-0.66,1419
2013-07-01,2013,7,6,Saúde e cuidados pessoais,Saúde,0.34,1419
2013-07-01,2013,7,7,Despesas pessoais,Pessoais,1.13,1419
2013-07-01,2013,7,8,Educação,Educação,0.11,1419
2013-07-01,2013,7,9,Comunicação,Comunicação,0.2,1419
2013-08-01,2013,8,1,Alimentação e bebidas,Alimentação,0.01,1419
2013-08-01,2013,8,2,Habitação,Habitação,0.57,1419
2013-08-01,2013,8,3,Artigos de residência,Residência,0.89,1419
2013-08-01,2013,8,4,Vestuário,Vestuário,0.08,1419
2013-08-01,2013,8,5,Transportes,Transportes,-0.06,1419
2013-08-01,2013,8,6,Saúde e cuidados pessoais,Saúde,0.45,1419
2013-08-01,2013,8,7,Despesas pessoais,Pessoais,0.39,1419
2013-08-01,2013,8,8,Educação,Educação,0.67,1419
2013-08-01,2013,8,9,Comunicação,Comunicação,0.02,1419
2013-09-01,2013,9,1,Alimentação e bebidas,Alimentação,0.14,1419
2013-09-01,2013,9,2,Habitação,Habitação,0.62,1419
2013-09-01,2013,9,3,Artigos de residência,Residência,0.65,1419
2013-09-01,2013,9,4,Vestuário,Vestuário,0.63,1419
2013-09-01,2013,9,5,Transportes,Transportes,0.44,1419
2013-09-01,2013,9,6,Saúde e cuidados pessoais,Saúde,0.46,1419
2013-09-01,2013,9,7,Despesas pessoais,Pessoais,0.2,1419
2013-09-01,2013,9,8,Educação,Educação,0.12,1419
2013-09-01,2013,9,9,Comunicação,Comunicação,-0.04,1419
2013-10-01,2013,10,1,Alimentação e bebidas,Alimentação,1.03,1419
2013-10-01,2013,10,2,Habitação,Habitação,0.56,1419
2013-10-01,2013,10,3,Artigos de residência,Residência,0.81,1419
2013-10-01,2013,10,4,Vestuário,Vestuário,1.13,1419
2013-10-01,2013,10,5,Transportes,Transportes,0.17,1419
